Algoritmo;TamanhoEstrutura;NumeroChaves;Tempo;Comparacoes;Movimentacoes
InsertionSort;1;100;0.000010;2274;2274
SelectionSort;1;100;0.000016;4950;291
BubbleSort;1;100;0.000022;4845;6525
ShellSort;1;100;0.000008;1077;765
MergeSort;1;100;0.000014;672;1344
HeapSort;1;100;0.000011;1041;1788
QuickSort;1;100;0.000009;649;1530
InsertionSort;1;1000;0.000720;249299;249299
SelectionSort;1;1000;0.001051;499500;2970
BubbleSort;1;1000;0.001833;497547;744900
ShellSort;1;1000;0.000125;19516;14495
MergeSort;1;1000;0.000163;9976;19952
HeapSort;1;1000;0.000151;16806;27219
QuickSort;1;1000;0.000106;11311;22986
InsertionSort;1;10000;0.076228;25014271;25014271
SelectionSort;1;10000;0.100908;49995000;29964
BubbleSort;1;10000;0.178199;49984269;75012816
ShellSort;1;10000;0.001904;303572;232615
MergeSort;1;10000;0.001958;133616;267232
HeapSort;1;10000;0.002040;235447;372555
QuickSort;1;10000;0.001243;156649;259809
InsertionSort;1000;100;0.000434;2274;2274
SelectionSort;1000;100;0.000113;4950;291
BubbleSort;1000;100;0.000865;4845;6525
ShellSort;1000;100;0.000272;1077;765
MergeSort;1000;100;0.000924;672;1344
HeapSort;1000;100;0.000286;1041;1788
QuickSort;1000;100;0.000256;618;1434
InsertionSort;1000;1000;0.040242;249299;249299
SelectionSort;1000;1000;0.003300;499500;2970
BubbleSort;1000;1000;0.081890;497547;744900
ShellSort;1000;1000;0.002924;19516;14495
MergeSort;1000;1000;0.010885;9976;19952
HeapSort;1000;1000;0.004786;16806;27219
QuickSort;1000;1000;0.003495;10011;19272
InsertionSort;1000;10000;8.556292;25014271;25014271
SelectionSort;1000;10000;0.181168;49995000;29964
BubbleSort;1000;10000;13.025811;49984269;75012816
ShellSort;1000;10000;0.078378;303572;232615
MergeSort;1000;10000;0.113882;133616;267232
HeapSort;1000;10000;0.051806;235447;372555
QuickSort;1000;10000;0.048913;158254;277086
