Algoritmo;TamanhoEstrutura;NumeroChaves;Tempo;Comparacoes;Movimentacoes
InsertionSort;1;100;0.000003;99;99
SelectionSort;1;100;0.000014;4950;0
BubbleSort;1;100;0.000002;99;0
ShellSort;1;100;0.000005;684;342
MergeSort;1;100;0.000019;672;1344
HeapSort;1;100;0.000013;1081;1923
QuickSort;1;100;0.000013;593;1398
InsertionSort;1;1000;0.000007;999;999
SelectionSort;1;1000;0.001191;499500;0
BubbleSort;1;1000;0.000004;999;0
ShellSort;1;1000;0.000032;10914;5457
MergeSort;1;1000;0.000117;9976;19952
HeapSort;1;1000;0.000163;17583;29127
QuickSort;1;1000;0.000074;10182;19653
InsertionSort;1;10000;0.000038;9999;9999
SelectionSort;1;10000;0.099935;49995000;0
BubbleSort;1;10000;0.000022;9999;0
ShellSort;1;10000;0.000378;150486;75243
MergeSort;1;10000;0.001349;133616;267232
HeapSort;1;10000;0.001912;244460;395871
QuickSort;1;10000;0.000854;156759;303765
InsertionSort;1000;100;0.000054;99;99
SelectionSort;1000;100;0.000016;4950;0
BubbleSort;1000;100;0.000002;99;0
ShellSort;1000;100;0.000125;684;342
MergeSort;1000;100;0.001007;672;1344
HeapSort;1000;100;0.000279;1081;1923
QuickSort;1000;100;0.000178;633;1476
InsertionSort;1000;1000;0.001097;999;999
SelectionSort;1000;1000;0.001124;499500;0
BubbleSort;1000;1000;0.000029;999;0
ShellSort;1000;1000;0.001856;10914;5457
MergeSort;1000;1000;0.013441;9976;19952
HeapSort;1000;1000;0.003589;17583;29127
QuickSort;1000;1000;0.004300;10945;18939
InsertionSort;1000;10000;0.013546;9999;9999
SelectionSort;1000;10000;0.180619;49995000;0
BubbleSort;1000;10000;0.000362;9999;0
ShellSort;1000;10000;0.087129;150486;75243
MergeSort;1000;10000;0.171872;133616;267232
HeapSort;1000;10000;0.076931;244460;395871
QuickSort;1000;10000;0.066427;162912;294969
