Algoritmo;TamanhoEstrutura;NumeroChaves;Tempo;Comparacoes;Movimentacoes
InsertionSort;1;100;0.000025;5049;5049
SelectionSort;1;100;0.000018;4950;150
BubbleSort;1;100;0.000032;4950;14850
ShellSort;1;100;0.000007;842;572
MergeSort;1;100;0.000019;672;1344
HeapSort;1;100;0.000013;944;1551
QuickSort;1;100;0.000015;622;1224
InsertionSort;1;1000;0.001850;500499;500499
SelectionSort;1;1000;0.001155;499500;1500
BubbleSort;1;1000;0.002390;499500;1498500
ShellSort;1;1000;0.000048;14007;9377
MergeSort;1;1000;0.000120;9976;19952
HeapSort;1;1000;0.000128;15965;24951
QuickSort;1;1000;0.000071;10008;17436
InsertionSort;1;10000;0.153152;50004999;50004999
SelectionSort;1;10000;0.108201;49995000;15000
BubbleSort;1;10000;0.239197;49995000;149985000
ShellSort;1;10000;0.000611;195433;128947
MergeSort;1;10000;0.001358;133616;267232
HeapSort;1;10000;0.001698;226682;350091
QuickSort;1;10000;0.000920;163578;285930
InsertionSort;1000;100;0.001243;5049;5049
SelectionSort;1000;100;0.000101;4950;150
BubbleSort;1000;100;0.001760;4950;14850
ShellSort;1000;100;0.000232;842;572
MergeSort;1000;100;0.000909;672;1344
HeapSort;1000;100;0.000279;944;1551
QuickSort;1000;100;0.000250;718;1557
InsertionSort;1000;1000;0.084106;500499;500499
SelectionSort;1000;1000;0.002164;499500;1500
BubbleSort;1000;1000;0.148711;499500;1498500
ShellSort;1000;1000;0.003951;14007;9377
MergeSort;1000;1000;0.019726;9976;19952
HeapSort;1000;1000;0.005537;15965;24951
QuickSort;1000;1000;0.009687;11335;21042
InsertionSort;1000;10000;21.026633;50004999;50004999
SelectionSort;1000;10000;0.131244;49995000;15000
BubbleSort;1000;10000;19.169552;49995000;149985000
ShellSort;1000;10000;0.112158;195433;128947
MergeSort;1000;10000;0.149944;133616;267232
HeapSort;1000;10000;0.058302;226682;350091
QuickSort;1000;10000;0.069921;156571;276591
