id,type,address,neighbourhood,regionName,city,rent,totalCost,iptuPlusCondominium,salePrice,area,bedrooms,bathrooms,suites,parkingSpaces,isFurnished,forRent,forSale,isPrimaryMarket,visitStatus,listingTags,activeSpecialConditions,amenities,installations,categories,shortRentDescription,coverImage,rentPerSqm,scraped_at
895353777,StudioOuKitchenette,Rua Doutor Alfredo Ellis,Bela Vista,Bela Vista,São Paulo,2448,2928,385,0.0,29,0,1,0,0,True,True,False,False,ACCEPT_NEW,[],"[""Exclusivity"", ""Negotiated""]","[""COOKTOP"", ""QUARTOS_E_CORREDORES_COM_PORTAS_AMPLAS"", ""MESAS_E_CADEIRAS_DE_ESCRITORIO"", ""COZINHA_AMERICANA"", ""MICROONDAS"", ""ARMARIOS_NOS_BANHEIROS"", ""AR_CONDICIONADO"", ""BOX"", ""CAMA_DE_CASAL"", ""UTENSILIOS_DE_COZINHA"", ""PODE_TER_ANIMAIS_DE_ESTIMACAO"", ""SOFA"", ""VARANDA"", ""GELADEIRA_INCLUSO"", ""ARMARIOS_EMBUTIDOS_NO_QUARTO"", ""SOL_DA_MANHA"", ""ARMARIOS_NA_COZINHA"", ""LUMINOSIDADE_NATURAL"", ""MESAS_E_CADEIRAS_DE_JANTAR"", ""TELEVISAO""]","[""SALAO_DE_FESTAS"", ""ACADEMIA"", ""LAVANDERIA_NO_PREDIO"", ""PERTO_DE_METRO_OU_TREM"", ""RAMPAS_DE_ACESSO""]",[],Kitnet mobiliada para alugar.,original895353777-692.172570082664826537771.jpg,84.41,2026-05-05 10:56:20
895338799,StudioOuKitchenette,Rua Capiacaci,Penha de França,Penha de França,São Paulo,1260,1558,250,0.0,27,0,1,0,0,False,True,False,False,ACCEPT_NEW,[],"[""Exclusivity""]","[""BOX"", ""ARMARIOS_NA_COZINHA"", ""AREA_DE_SERVICO"", ""PODE_TER_ANIMAIS_DE_ESTIMACAO"", ""TANQUE""]","[""SALAO_DE_FESTAS"", ""PERTO_DE_METRO_OU_TREM""]",[],"Studio para alugar na Penha de França, aceita animais de estimação.",original895338799-980.6792393577986DSC0004.jpg,46.67,2026-05-05 10:56:20
894452833,StudioOuKitchenette,Rua Sena Madureira,Vila Clementino,Vila Clementino,São Paulo,2856,3410,444,0.0,27,0,1,0,0,False,True,False,False,ACCEPT_NEW,[],"[""Exclusivity""]","[""COOKTOP"", ""QUARTOS_E_CORREDORES_COM_PORTAS_AMPLAS"", ""MESAS_E_CADEIRAS_DE_ESCRITORIO"", ""ARMARIOS_NOS_BANHEIROS"", ""AR_CONDICIONADO"", ""BOX"", ""VARANDA"", ""RUA_SILENCIOSA"", ""ARMARIOS_EMBUTIDOS_NO_QUARTO"", ""SOL_DA_MANHA"", ""ARMARIOS_NA_COZINHA"", ""LUMINOSIDADE_NATURAL"", ""MESAS_E_CADEIRAS_DE_JANTAR""]","[""SALAO_DE_FESTAS"", ""CORRIMAO"", ""ACADEMIA"", ""LAVANDERIA_NO_PREDIO"", ""PISCINA"", ""PERTO_DE_METRO_OU_TREM"", ""RAMPAS_DE_ACESSO"", ""BRINQUEDOTECA"", ""PISO_TATIL""]","[""SPECIAL""]","Alugar studio com varanda, piscina e academia no condomínio.",894452833-520.4653181373816IMG4823.JPG,105.78,2026-05-05 10:56:20
895152036,StudioOuKitchenette,Rua Dona Brígida,Vila Mariana,Vila Mariana,São Paulo,3500,4359,724,340400.0,25,0,1,0,0,False,True,True,False,ACCEPT_NEW,[],[],"[""VISTA_LIVRE"", ""SOL_DA_MANHA"", ""LUMINOSIDADE_NATURAL"", ""SOL_DA_TARDE""]","[""SALAO_DE_FESTAS"", ""CORRIMAO"", ""ACADEMIA"", ""LAVANDERIA_NO_PREDIO"", ""AREA_VERDE"", ""QUADRA_ESPORTIVA"", ""PERTO_DE_METRO_OU_TREM"", ""RAMPAS_DE_ACESSO""]",[],Studio na Vila Mariana para alugar.,original895152036-427.06500361379085IMG8337.jpg,140.0,2026-05-05 10:56:20
895399662,Casa,Rua dos Fonsecas,Vila Nova York,Vila Nova York,São Paulo,3000,3827,700,0.0,200,0,1,0,0,False,True,False,False,ACCEPT_NEW,[],"[""Exclusivity""]","[""VISTA_LIVRE"", ""QUARTOS_E_CORREDORES_COM_PORTAS_AMPLAS"", ""VARANDA"", ""RUA_SILENCIOSA"", ""COZINHA_AMERICANA"", ""ARMARIOS_NOS_BANHEIROS"", ""BOX"", ""LUMINOSIDADE_NATURAL"", ""SOL_DA_TARDE"", ""PODE_TER_ANIMAIS_DE_ESTIMACAO""]","[""CORRIMAO"", ""CHURRASQUEIRA""]",[],Casa para aluguel com churrasqueira no condomínio.,original895399662-726.528532895624425042026DSC0077.jpg,15.0,2026-05-05 10:56:20
895229497,StudioOuKitchenette,Avenida Doutor Chucri Zaidan,Vila Cordeiro,Brooklin,São Paulo,3700,4342,500,420000.0,24,0,1,0,0,False,True,False,False,ACCEPT_NEW,[],[],"[""VISTA_LIVRE"", ""VARANDA"", ""COZINHA_AMERICANA"", ""SOL_DA_MANHA"", ""LUMINOSIDADE_NATURAL"", ""PODE_TER_ANIMAIS_DE_ESTIMACAO""]","[""SALAO_DE_FESTAS"", ""ACADEMIA"", ""LAVANDERIA_NO_PREDIO"", ""AREA_VERDE"", ""PISCINA"", ""SALAO_DE_JOGOS""]",[],Kitnet para alugar na Vila Cordeiro com piscina e permite animais.,original895229497-150.958213950675IMG4721.jpeg,154.17,2026-05-05 10:56:20
895345417,StudioOuKitchenette,Rua Luís Góis,Mirandópolis,Chácara Inglesa,São Paulo,2000,2477,400,0.0,38,0,1,0,0,True,True,False,False,ACCEPT_NEW,[],"[""Exclusivity""]","[""QUARTOS_E_CORREDORES_COM_PORTAS_AMPLAS"", ""MAQUINA_DE_LAVAR"", ""ARMARIOS_NOS_BANHEIROS"", ""BOX"", ""FOGAO_INCLUSO"", ""CAMA_DE_CASAL"", ""AREA_DE_SERVICO"", ""SOFA"", ""RUA_SILENCIOSA"", ""GELADEIRA_INCLUSO"", ""SOL_DA_MANHA"", ""ARMARIOS_NA_COZINHA"", ""LUMINOSIDADE_NATURAL""]","[""CORRIMAO"", ""PERTO_DE_METRO_OU_TREM""]",[],Studio mobiliado para aluguel.,,52.63,2026-05-05 10:56:20
894648810,StudioOuKitchenette,Rua Álvaro Guimarães,Bela Vista,Bela Vista,São Paulo,6000,7253,1021,524000.0,32,0,1,0,1,True,True,True,False,ACCEPT_NEW,[],"[""Exclusivity""]","[""VISTA_LIVRE"", ""COOKTOP"", ""COZINHA_AMERICANA"", ""MICROONDAS"", ""ARMARIOS_NOS_BANHEIROS"", ""AR_CONDICIONADO"", ""BOX"", ""CAMA_DE_CASAL"", ""CHUVEIRO_A_GAS"", ""SOFA"", ""VARANDA"", ""ARMARIOS_EMBUTIDOS_NO_QUARTO"", ""GELADEIRA_INCLUSO"", ""SOL_DA_MANHA"", ""ARMARIOS_NA_COZINHA"", ""LUMINOSIDADE_NATURAL"", ""MESAS_E_CADEIRAS_DE_JANTAR"", ""TELEVISAO""]","[""SALAO_DE_FESTAS"", ""ACADEMIA"", ""AREA_VERDE"", ""LAVANDERIA_NO_PREDIO"", ""VAGA_DE_GARAGEM_ACESSIVEL"", ""PISCINA"", ""PERTO_DE_METRO_OU_TREM"", ""SAUNA"", ""RAMPAS_DE_ACESSO""]",[],,894648810-72.4214215828303819488107.jpg,187.5,2026-05-05 10:56:20
894728837,StudioOuKitchenette,Rua Gualaxo,Aclimação,Aclimação,São Paulo,2700,3248,444,500000.0,27,0,1,0,0,True,True,True,False,ACCEPT_NEW,[],"[""Exclusivity""]","[""VISTA_LIVRE"", ""MESAS_E_CADEIRAS_DE_ESCRITORIO"", ""ARMARIOS_NOS_BANHEIROS"", ""AR_CONDICIONADO"", ""BOX"", ""CAMA_DE_CASAL"", ""SOL_DA_TARDE"", ""CHUVEIRO_A_GAS"", ""PODE_TER_ANIMAIS_DE_ESTIMACAO"", ""RUA_SILENCIOSA"", ""ARMARIOS_EMBUTIDOS_NO_QUARTO"", ""SOL_DA_MANHA"", ""ARMARIOS_NA_COZINHA"", ""LUMINOSIDADE_NATURAL"", ""MESAS_E_CADEIRAS_DE_JANTAR""]","[""SALAO_DE_FESTAS"", ""CORRIMAO"", ""ACADEMIA"", ""AREA_VERDE"", ""LAVANDERIA_NO_PREDIO"", ""PERTO_DE_METRO_OU_TREM"", ""RAMPAS_DE_ACESSO""]",[],Kitnet para alugar na Aclimação com 1 quarto e varanda.,original894728837-221.32020155549003IMG6417.jpg,100.0,2026-05-05 10:56:20
894009139,StudioOuKitchenette,Rua João José Pacheco,Jardim Vila Mariana,Vila Mariana,São Paulo,2471,3246,680,420000.0,22,0,1,0,0,True,True,True,False,ACCEPT_NEW,[],"[""Exclusivity""]","[""VISTA_LIVRE"", ""QUARTOS_E_CORREDORES_COM_PORTAS_AMPLAS"", ""COOKTOP"", ""ARMARIOS_NOS_BANHEIROS"", ""AR_CONDICIONADO"", ""BOX"", ""CAMA_DE_CASAL"", ""VARANDA"", ""ARMARIOS_EMBUTIDOS_NO_QUARTO"", ""GELADEIRA_INCLUSO"", ""SOL_DA_MANHA"", ""ARMARIOS_NA_COZINHA"", ""LUMINOSIDADE_NATURAL"", ""TELEVISAO""]","[""CORRIMAO"", ""LAVANDERIA_NO_PREDIO"", ""PERTO_DE_METRO_OU_TREM"", ""RAMPAS_DE_ACESSO"", ""PISO_TATIL""]",[],Studio mobiliado com varanda para alugar. Aproveite o conforto e a praticidade deste imóvel.,894009139-889.7713079930976IMG5252.jpg,112.32,2026-05-05 10:56:20
